# Start time is 15:33:33
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-340.1235981 0.0305180 -0.0000549 -0.000033480587670 0.000001276482257
-319.9816892 0.0305180 0.0000730 -0.000030446259353 -0.000000959760053
-300.1449607 0.0305180 -0.0000515 -0.000033225170214 0.000000290065923
-280.0030518 0.0305180 -0.0002174 -0.000035795390235 0.000000358620380
-259.8611429 0.0305180 -0.0002933 -0.000041070608970 0.000001186293214
-240.0244144 0.0305180 -0.0004805 -0.000061884283331 0.000000724184433
-219.8825055 0.0305180 -0.0006443 -0.000057100076469 0.000001561751459
-200.0457771 0.0305180 -0.0003023 -0.000056891920165 0.000000985670334
-179.9038682 0.0305180 -0.0001710 -0.000045455154294 0.000000546007928
-160.0671397 0.0305180 -0.0001976 -0.000037404141451 -0.000001011476058
-139.9252308 0.0305180 0.0000073 -0.000031472837505 -0.000000127503138
-120.0885023 0.0305180 -0.0001379 -0.000032304190409 0.000001628576018
-99.9465934 0.0305180 -0.0002737 -0.000042860636997 -0.000002590195785
-80.1098650 0.0305180 -0.0001803 -0.000036783239241 0.000000691359848
-59.9679561 0.0305180 0.0000570 -0.000037145123224 0.000000353324368
-40.1312276 0.0305180 -0.0000665 -0.000040946681345 0.000000202053790
-19.9893187 0.0305180 -0.0002660 -0.000039129265134 -0.000002553682318
0.1525902 0.0305180 0.0000196 -0.000036561418803 -0.000000039545046
19.9893187 0.0305180 0.0000423 -0.000029774262021 0.000000347870932
40.1312276 0.0305180 -0.0000038 -0.000030449266849 0.000000510300377
59.9679561 0.0305180 0.0000029 -0.000025320740484 -0.000000723894257
80.1098650 0.0305180 -0.0000263 -0.000027034476214 0.000000878270427
99.9465934 0.0305180 -0.0000713 -0.000032121163142 0.000000101624576
120.0885023 0.0305180 -0.0000423 -0.000032732631097 0.000000007442965
139.9252308 0.0305180 -0.0000440 -0.000032573449395 0.000000888451270
160.0671397 0.0305180 -0.0000134 -0.000027649842165 0.000000049712379
179.9038682 0.0305180 -0.0000783 -0.000028291935472 -0.000000728043074
200.0457771 0.0305180 0.0000794 -0.000024694753727 0.000000822642915
219.8825055 0.0305180 0.0000127 -0.000024956441694 0.000000731976902
240.0244144 0.0305180 -0.0000261 -0.000026687584480 -0.000000633366871
259.8611429 0.0305180 -0.0000761 -0.000027605268375 -0.000000759484915
280.0030518 0.0305180 -0.0001091 -0.000028958152773 0.000001432100194
300.1449607 0.0305180 -0.0001047 -0.000033745176813 0.000000913627299
319.9816892 0.0305180 -0.0001658 -0.000032575240382 0.000000557869327
340.1235981 0.0305180 0.0000006 -0.000031388557721 0.000001438749579
359.9603265 0.0305180 0.0000543 -0.000031512224539 0.000000638514270
